Ranking,Name
6,University of Oxford
40,The University of Edinburgh
45,University College London
49,Imperial College London
51-75,The University of Manchester
51-75,University of Cambridge
76-100,University of Surrey
101-150,King's College London
101-150,Queen Mary University of London
151-200,Brunel University
151-200,Cardiff University
151-200,Lancaster University
151-200,Newcastle University
151-200,Northumbria University
151-200,University of Bristol
151-200,University of Exeter
151-200,University of Warwick
201-300,De Montfort University
201-300,Loughborough University
201-300,Manchester Metropolitan University
201-300,The University of Glasgow
201-300,The University of Sheffield
201-300,University of Birmingham
201-300,University of Leicester
201-300,University of Lincoln
201-300,University of Liverpool
201-300,University of Nottingham
201-300,University of Southampton
301-400,Edinburgh Napier University
301-400,Liverpool John Moores University
301-400,Queen's University Belfast
301-400,Swansea University
301-400,University of Essex
301-400,University of Leeds
301-400,University of the West of England
401-500,Aberystwyth University
401-500,Durham University
401-500,Heriot-Watt University
401-500,University of Bradford
401-500,University of Portsmouth
